PM10- Dati del giorno 10/02/2020;;
Tipo sensore;Stazione di misura;Valore medio giornaliero (a) (Microgrammi al metro cubo)
PM10 - Beta;Ceresole Reale - Diga;50
PM10 - Beta;Chieri - Bersezio ;57
PM10 - Beta;Ivrea - Liberazione;57
PM10 - Beta;Pinerolo -  Alpini;54
PM10 - Beta;Torino - Rebaudengo;80
PM10 - Beta;Torino - Lingotto;67
Note: n.c. = per la giornata di riferimento, non e' ancora disponibile il 75% dei dati, pertanto le elaborazioni non possono essere effettuate;;
__ = dato non disponibile nel periodo;;
(a) valore limite giornaliero per la protezione della salute umana (50 microgrammi/metro cubo da non superare pi&ugrave; di 35 volte per anno civile) (D. Lgs. 155 del 13-08-2010);
media giornaliera;;
I calcoli, quando possibile, sono stati effettuati su dati che hanno subito almeno una validazione di primo livello, altrimenti su dati non ancora validati (vedi pagina relativa alla validazione dei dati).;;
